نوع,نوع محصول,محصول,جنس,فشار قابل تحمل,اندازه (mm),قیمت واحد (ریال),تعداد در کارتن/کیسه
اتصالات فشار قوی,جوشی,فلنچ پایه بلند,HDPE100,6,63,247000,40
اتصالات فشار قوی,جوشی,فلنچ پایه بلند,HDPE100,6,75,368000,24
اتصالات فشار قوی,جوشی,فلنچ پایه بلند,HDPE100,6,90,536000,18
اتصالات فشار قوی,جوشی,فلنچ پایه بلند,HDPE100,6,110,796000,12
اتصالات فشار قوی,جوشی,فلنچ پایه بلند,HDPE100,6,125,1182000,8
اتصالات فشار قوی,جوشی,فلنچ پایه بلند,HDPE100,6,160,1791000,15
اتصالات فشار قوی,جوشی,فلنچ پایه بلند,HDPE100,6,200,3098000,10
اتصالات فشار قوی,جوشی,فلنچ پایه بلند,HDPE100,6,250,4781000,6
اتصالات فشار قوی,جوشی,فلنچ پایه بلند,HDPE100,10,63,263000,40
اتصالات فشار قوی,جوشی,فلنچ پایه بلند,HDPE100,10,75,445000,24
اتصالات فشار قوی,جوشی,فلنچ پایه بلند,HDPE100,10,90,577000,18
اتصالات فشار قوی,جوشی,فلنچ پایه بلند,HDPE100,10,110,863000,12
اتصالات فشار قوی,جوشی,فلنچ پایه بلند,HDPE100,10,125,1424000,8
اتصالات فشار قوی,جوشی,فلنچ پایه بلند,HDPE100,10,160,2168000,15
اتصالات فشار قوی,جوشی,فلنچ پایه بلند,HDPE100,10,200,3777000,10
اتصالات فشار قوی,جوشی,فلنچ پایه بلند,HDPE100,10,250,5719000,6
اتصالات فشار قوی,جوشی,فلنچ پایه بلند,HDPE100,16,63,367000,40
اتصالات فشار قوی,جوشی,فلنچ پایه بلند,HDPE100,16,75,651000,24
اتصالات فشار قوی,جوشی,فلنچ پایه بلند,HDPE100,16,90,861000,18
اتصالات فشار قوی,جوشی,فلنچ پایه بلند,HDPE100,16,110,1282000,12
اتصالات فشار قوی,جوشی,فلنچ پایه بلند,HDPE100,16,125,1858000,8
اتصالات فشار قوی,جوشی,فلنچ پایه بلند,HDPE100,16,160,3129000,15
اتصالات فشار قوی,جوشی,فلنچ پایه بلند,HDPE100,16,200,5309000,10
اتصالات فشار قوی,جوشی,فلنچ پایه بلند,HDPE100,16,250,8104000,6
اتصالات فشار قوی,جوشی,فلنچ پایه کوتاه,HDPE100,6,63,205000,60
اتصالات فشار قوی,جوشی,فلنچ پایه کوتاه,HDPE100,6,75,311000,36
اتصالات فشار قوی,جوشی,فلنچ پایه کوتاه,HDPE100,6,90,462000,26
اتصالات فشار قوی,جوشی,فلنچ پایه کوتاه,HDPE100,6,110,668000,15
اتصالات فشار قوی,جوشی,فلنچ پایه کوتاه,HDPE100,6,125,870000,12
اتصالات فشار قوی,جوشی,فلنچ پایه کوتاه,HDPE100,6,160,1234000,21
اتصالات فشار قوی,جوشی,فلنچ پایه کوتاه,HDPE100,6,200,2219000,14
اتصالات فشار قوی,جوشی,فلنچ پایه کوتاه,HDPE100,6,225,2454000,12
اتصالات فشار قوی,جوشی,فلنچ پایه کوتاه,HDPE100,6,250,4278000,9
اتصالات فشار قوی,جوشی,فلنچ پایه کوتاه,HDPE100,6,315,5942000,4
اتصالات فشار قوی,جوشی,فلنچ پایه کوتاه,HDPE100,10,63,212000,60
اتصالات فشار قوی,جوشی,فلنچ پایه کوتاه,HDPE100,10,75,332000,36
اتصالات فشار قوی,جوشی,فلنچ پایه کوتاه,HDPE100,10,90,507000,26
اتصالات فشار قوی,جوشی,فلنچ پایه کوتاه,HDPE100,10,110,763000,15
اتصالات فشار قوی,جوشی,فلنچ پایه کوتاه,HDPE100,10,125,972000,12
اتصالات فشار قوی,جوشی,فلنچ پایه کوتاه,HDPE100,10,160,1356000,21
اتصالات فشار قوی,جوشی,فلنچ پایه کوتاه,HDPE100,10,200,3091000,14
اتصالات فشار قوی,جوشی,فلنچ پایه کوتاه,HDPE100,10,225,3212000,12
اتصالات فشار قوی,جوشی,فلنچ پایه کوتاه,HDPE100,10,250,4923000,9
اتصالات فشار قوی,جوشی,فلنچ پایه کوتاه,HDPE100,16,63,320000,60
اتصالات فشار قوی,جوشی,فلنچ پایه کوتاه,HDPE100,16,75,499000,36
اتصالات فشار قوی,جوشی,فلنچ پایه کوتاه,HDPE100,16,90,759000,26
